Lat-Long,Nombre del recurso turístico,isla,Consejo,Parroquia,Aldea,Vecindario,Clasificación,Cara,Descripción del Producto,Elementos materiales asociados,Elementos naturales asociados,Acceso a recursos [dominio público o privado],Imágenes destacadas,Imágenes de la característica 1,Dados pendentes de interesse turístico,Singularidad que lo diferencia de otros en la región,Satisfacción del cliente con la función.,Posibilidades de exploración futura,Intervenciones necesarias para su uso,Acceso a recursos (tierra),Medios de viaje,Señalización (Dentro del municipio),Señalización (Fuera del municipio),Señalización (Cerca),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),IDENTIFICACIÓN,Estado de conservación,Otros Servicios Turísticos (Fuera del Complejo Turístico más cercano),Servicios Básicos (Fuera del centro turístico más cercano),Servicios de emergencia (Fuera del complejo turístico más cercano),Otros Servicios Turísticos (Dentro del Recurso Turístico),Servicios básicos (Dentro del Complejo Turístico),Imágenes de la característica 2,Característica 3 imágenes,Característica 4 imágenes,Servicios de emergencia (Dentro del Complejo Turístico),Acceso al recurso (Marítimo),Nivel actual de uso,Acceso a recursos (aerotransportado),Medios de viaje 2
"15.3038536354514, -23.710943337999346",Centro de arte e oficios de tras os Montes,Santiago,Tarrafal,Santo Amaro Abade,Chão Bom,Chão Bom,Etnografía y folklore,Manualidades Con Materiales Folclóricos,"Se destaca por la preservación y producción de alfarería tradicional en este tranquilo lugar detrás de los cerros. Con la práctica de extraer el barro por manos de alfareros locales nace una obra de arte. Consta de una recepción, una sala de exposición, un patio para la elaboración de piezas de panificación y tejido y pequeñas salas de formación donde los artesanos aprenden el arte del moldeado del barro, la confección de telas de barro y sombreros de paja, la cestería y la confección de joyería tradicional. Dos casas de base cilíndrica y tapa cónica fabricadas en barro. También podremos disfrutar de exposiciones con piezas antiguas e instrumentos utilizados para confesar las piezas. Situado a 10 minutos de la ciudad de Tarrafal, este centro también es visitado por muchos turistas.","Elementos materiales asociados: Panadería tradicional, productos de barro (tazas de café, ollas, etc.)
Elementos materiales asociados: Máquina telar",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/KSeUESIdekparXsIoPbG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SwrM002X04drjXfBzsNB.jpg,Publicidad y marketing digitales.,Su construcción es emblemática y está realizada en barro.,Frequentado,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",muy poco,No existe,No existe,Libro,Verdadero,Verdadero,12,aceptable,,"Agua, Alumbrado público, Señalización","Atención primaria, policía",Venta de artesanías,"Agua, Alumbrado público",,,,,,,,
"15.053118702612295, -23.605132476262273",Centro de Interpretación São Lourenço dos Órgãos – “Kintal de Nós Djentis”,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,São Jorge dos Órgãos,São Jorge dos Órgãos,Patrimonio Arquitectónico y Artístico,Museos y salas de exposiciones,"Es un espacio turístico rural y de usos múltiples que promueve la historia, la cultura y la experiencia de la comunidad rural local. Porque es un espacio de identidad, de sostenibilidad, que no define sus muros, pero que tiene un alma, el alma de la gente de este municipio, el alma de la gente de Cabo Verde. Una invitación a descubrir la vida de las personas de esta ciudad desde hace mucho tiempo. El centro alberga dos centros temáticos, el primero Flora, fauna y su reflexión sobre la vida del municipio y el segundo es un centro de ciencias vivas. Dispone de una amplia zona para la celebración de eventos, para artesanías, terraza y bar, dos zonas de exposición y una sala de exposición etnográfica, zona de administración y aseos. También se pretende mantener una tienda de productos agrícolas como parte del centro, que funciona en este espacio, estableciendo así un vínculo entre la exposición y la vida agrícola real.","Elementos materiales asociados: Sala de conferencias; Sala de descanso para tomar café;
Elementos materiales asociados: Información turística, artesanía, exposiciones, venta de libros infantiles.",Exposición de piedra geológica,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fzdutQv8QTgBTOLTV2ja.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/v7uuBw0dmyeA8BZvtBg4.jpg,,Es el segundo Centro de Interpretación ubicado en zona rural;,Frequentado,Patrimonio/cultural,Ninguno,Verdadero,"Bus turístico,Taxi,Otros",Suficiente,,Suficiente,Se requiere boleto o entrada,Verdadero,Verdadero,13,bien,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/Casa de cambio de moneda","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Atención primaria,Policía","Servicios de guía, Centros de interpretación.","Agua, Alcantarillado, Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GxgMhIAN816F6kYRcSwt.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/g6XfGkGMUn6Bv49182sG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/rPHoT88DIRJYCGxB7Ram.jpg,,,,,
"14.918262629862722, -23.603861989755426",Convento de San Francisco,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Velha,Ribeira Velha,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"El convento fue construido hacia 1640, en un terreno donado por Joana Coelho, rica terrateniente, viuda del capitán Fabião de Andrade. Fue diseñado para acoger a los religiosos franciscanos que sustituyeron a los jesuitas en la misión de Cabo Verde. También funcionó como centro de formación, donde los sacerdotes enseñaban diversos oficios a la comunidad. Fue prácticamente destruido tras el ataque del corsario Jacques Cassard, en 1712, y una tormenta, acaecida en 1754. Con una estructura conservada y excavaciones que revelan su importancia pasada. Fachada formada por un solo paño con frontón triangular, abierta por un portal (desaparecido) y rematado por un gran ventanal con rejas de hierro; campanario en esquina del lado izquierdo, de la fachada principal, con ventana de arco de medio punto con remate triangular. Muros laterales de una sola hoja, con ventanas, en el cuerpo de la nave y en la capilla mayor, delimitados por esquinas.","Paneles de azulejos, sillas.
Muros Autoportantes","Vegetación circundante, casas.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/L840nzZSJc1vUiI8KHox.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/q4okTXJai6d7mv4llJNH.jpg,Señalización turística y más publicidad; Recalificación del acceso al convento.,Fue uno de los primeros conventos creados para recibir a los franciscanos. Con iglesia de una sola nave y cabecera. Implantación con importante interés paisajístico. Cunhal SE. Basado en un monolito equipado.,Frequentado,Patrimonio/cultural,"Señalización, promoción y placas interpretativas.",Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,muy poco,Se requiere boleto o entrada,Verdadero,Verdadero,14,bien,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/cambio de moneda,Servicios de aparcamiento","Agua, Alumbrado público, Otros","Atención primaria, policía",Servicios de guía,"Agua, Alumbrado público, Otros",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cikn3UPQvGjUPalZ7Dyd.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GdIiDV4gYmpEVxxErXyR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/WANZyBrr7rvCOwZfkG3r.jpg,,,,,
"14.91615223189909, -23.509749818591413",Estatua Diogo Gomes,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Patrimonio Arquitectónico y Artístico,Obras De Arte Representativas,"Está ubicado en el centro histórico de la ciudad de Praia, más precisamente frente a la casa presidencial con su frente hacia el mar, representa a Diego Gomes de Sintra quien fue el navegante y explorador portugués del siglo XV, y fue uno de los descubridores de las Islas del Cabo Verde en 1460. Es un monumento histórico-cultural de gran relevancia para la historia de Cabo Verde. La estatua de hierro fundido fue creada por el escultor portugués Joaquim Correia en 1956, mide 3,3 metros de altura y está colocada sobre un pedestal de 1,85 m de altura. Fue inaugurado en 1956 para celebrar el 500 aniversario del descubrimiento de Cabo Verde. En 1974/75 fue retirado y estuvo almacenado en un almacén hasta 1991, cuando fue sustituido. Allí se puede disfrutar de toda la rampa de Achada Santo Antonio, Monte Vermelho, faro, playa bahía y el islote de Santa María. Es un mirador auténtico.",Pedestal de 1.85 metros,,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/J6Qd8rgT6AO0yu8a3Ie1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/KflDEW7Q33pRrl7cKJYF.jpg,"Señalización mejorada, código QR",La única estatua que representa a uno de los descubridores de Cabo Verde,Frequentado,Patrimonio/cultural,ninguno,Verdadero,"Coche normal,A pie,Autobús turístico,Taxi",,,,,Verdadero,Verdadero,15,bien,"Servicios de guía,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público, Hospital privado, Atención primaria, Policía",,"Alumbrado público, Señalización",,,,,,,,
"14.90050089159667, -23.50924945365985",Farol dona Maria Pia,Santiago,Praia,Nossa Senhora da Graça,Prainha,Prainha,Logros técnicos científicos,Obras de Ingeniería,"También conocido como Faro de Ponta Temerosa, es un faro con una torre de mampostería octogonal. Con farol y galería, edificio anexo de planta baja. Toda la estructura está pintada de blanco, con una cúpula farol gris, un gran patio, una sala de exposiciones, una sala de máquinas, un dormitorio y la torre de 21 metros con una escalera de caracol. Su construcción se inició en 1880 en el siglo XIX para apoyar la navegación marítima y fue inaugurado el 13 de junio de 1881. Fue el primer faro construido en Cabo Verde. El nombre es un homenaje a la Reina de Portugal, D. María Pía, esposa del Rey D. Luis. Su belleza durante el amanecer y el atardecer hace de la silueta del faro un escenario de gran belleza.","Cañones, escalera con residente.
Luces",Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Mz6XxdpQmrEh1i71gGJd.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qpBLLIHHiMWrYe0CP1SI.jpg,"Debido a la proximidad al mar, la degradación es inevitable, por lo que se debe realizar un mantenimiento frecuente. Se centra en la seguridad del espacio, protegiéndolo del vandalismo.",1º farol de Cabo Verde,,Patrimonio/cultural,,Verdadero,A pie,Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,16,bien,Servicio de taxi,"Agua, Alcantarillado, Alumbrado público, Señalización","Hospital público,Polícia",,"Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/X6hpqmhLZkSx6IhTc32C.jpg,,,Atención primaria,,,,
"15.068670438611454, -23.582101553864582",Iglesia Parroquial de São Lourenço dos Órganos,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,João Teves,João Teves,Etnografía y folklore,Folclore Espiritual,"Es una iglesia construida en los años 70 sobre una antigua ruina, que data del siglo XVI, cuyo santo patrón es São Lourenço dos Órgãos, celebrado el 10 de agosto, con celebración de misa y procesión, además de otras actividades conmemorativas en el día de dicho santo. La citada iglesia se caracteriza por mantener intacto su estilo arquitectónico.  Está ubicado en la ciudad de João Teves, más precisamente, en Várzea de Igreja. Consta de un gran salón donde se llevan a cabo las eucaristías, bautismos, bodas, ordenación de sacerdotes, etc. También cuenta con un gran espacio a su alrededor, a modo de anfiteatro, en el que se realizan misas en fechas conmemorativas donde hay más gente.","La iglesia misma, la campana.
Estatuas de santos, imágenes, sillas, mesas, velas, sistema de sonido,",Vista de paisajes rurales con muchas plantas.,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YC6P5bDMphaoPmHaBaoC.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VOQfmo9syLJgRmUNiBKy.jpg,"Se trata de un monumento emblemático que trae consigo tanto su forma física en su arquitectura original, como su historia intangible, las festividades ligadas a la celebración de su patrona, y la cultura de la fe de sus fieles, que termina siendo un interés principalmente para el turismo religioso, así como el turismo en su contexto general.","La iglesia realiza actividades culturales ligadas a la fe como teatro, música religiosa, así como la historia de su santo patrón como seguidores de Jesús, y un ambiente acogedor y tradicional propio de la gente de su región.",Frequentado,Patrimonio/cultural,N / A,Verdadero,"Vehículo todo terreno,Coche común,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,Verdadero,Verdadero,17,bien,"Servicios de guía,Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Otros","Agua, Alcantarillado, Alumbrado público, Señalización","Atención primaria, policía",,"Agua, Alcantarillado, Alumbrado público",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/tsVskx5ov9g4N0760xce.jpg,,,,,,,
"15.037714364270734, -23.454270648425307",Iglesia Nuestra Señora de la Luz,Santiago,São Domingos,Nossa Senhora da Luz,Moia Moia,,Etnografía y folklore,Folclore Espiritual,"La Iglesia de Nossa Senhora da Luz se encuentra en la zona de Baía dos Alcatrazes. Fue una de las primeras iglesias construidas por los portugueses en el trópico, en 1480, y, sin embargo, el pueblo comenzó a ser abandonado paulatinamente unos 50 años después. Fue objeto de reformas en 2020, cuya intervención deja claro que existía cierta falta de carácter, desviándose algo del estándar inicial, lo que redujo su valor patrimonial. Sin embargo, es patrimonio cultural nacional desde el 11 de agosto de 2020, se encuentra en buen estado de conservación y debe preservarse como una memoria del pasado.","La iglesia misma, tumbas afuera.
Estatuas de santos, imágenes, sillas, mesas, velas.",Vista para a baia de alcatraz,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ElB4yb1c0081NE8gp4fe.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/AJP9xsiSD1JuFZGvcalL.png,"Es una iglesia sencilla, muy conocida entre la población y que tiene una rica historia. Necesidad de mejorar el acceso.",La iglesia fue construida en 1480.,Moderadamente frequentado,Patrimonio/cultural,N / A,Verdadero,"Vehículo todo terreno,Coche común,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,Verdadero,Verdadero,18,bien,"Servicios de guía,Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Otros","Agua, Alcantarillado, Alumbrado público","Atención primaria, policía",,"Agua, Alcantarillado, Alumbrado público",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/47mTrUjD8SLRxCuzE8rS.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Z7GT0VbX5QAVdudTFQoq.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Ukli77JCKpzx4T3JsS2v.jpg,,,,,
"15.134873127639088, -23.529152016340927",Playa Paraíso de Falucho,Santiago,Santa Cruz,Santiago Maior,Porto Abaixo,Porto Abaixo,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"El emblemático espacio de playa Falucho Paradise es un restaurante con terraza y un hotel de tres estrellas ubicado en Pedra Badejo que ofrece servicio de hotelería y restauración, instalaciones para exportación de agua, snorkel, buceo, exposiciones temporales de arte, tours para caminar, música en vivo, eventos deportivos. , Pesca, Senderismo. A 35 kilómetros del balneario, Faluche fue remodelado en mayo, y además de la terraza panorámica, con servicios de bar y restaurante, añadió una piscina y parque infantil, convirtiéndose así en un atractivo para quienes visitan Santa Cruz.","Piscina exterior, dormitorio, habitaciones dobles con escritorio, TV, sillas, mesas, habitaciones para no fumadores","Jardín, playa de arena negra volcánica, vista al mar.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/wsntT98EbG0lz5Xl6DZ4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Lvlp61kui8dHnHGLw96M.jpg,"Es un desarrollo turístico, ubicado en una zona cuyas actividades de atracción están enfocadas al mar, con profesionales que dominan 3 idiomas: portugués, inglés y francés.","Dispone de playa privada, servicio de traslado al aeropuerto, vistas al mar, asientos y aseos para usuarios de sillas de ruedas.",Frequentado,Otros,Mayor publicidad,Verdadero,"Vehículo todo terreno,Coche común,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,No existe,Suficiente,Libro,Verdadero,Verdadero,19,bien,"Servicios de guía,Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Servicios de estacionamiento,Otros","Agua, Alcantarillado, Alumbrado público, Señalización",Hospital público,"Servicios de guía, Servicio de taxi, Venta de artesanías, Banco/ATM/cambio de moneda, Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/P1wyXAqIc7vmb4XfISUK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/uBeOOOZfiHx9HI3zbypF.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/2WxhxvUGPRi00Yw1PXLY.jpg,,,,,
"15.278772953995617, -23.751064019461676",Iglesia Matriz San Amaro Abade,Santiago,Tarrafal,Santo Amaro Abade,Tarrafal,Vila Centro,Etnografía y folklore,Folclore Espiritual,"La Iglesia de Sto. Amaro Abade es el principal templo católico del Concejo de Tarrafal, cuya festividad religiosa tiene lugar el 15 de enero. Es una de las iglesias más antiguas de la isla de Santiago y Cabo Verde, inaugurada en 1954, y recién fue rehabilitada en 2015. Con el crecimiento del Municipio de Tarrafal, el número de creyentes aumentó a tal punto que la iglesia no pudo para recibir. De esta manera, “todos” los caboverdianos en las islas y en la diáspora fueron movilizados por la fe/la devoción, para contribuir a la reconstrucción de la Iglesia. La iglesia fue reconstruida y se construyeron naves laterales y una ampliación trasera.","Plaza con sillas, Oficina de información turística.
Sillas, altar, Imágenes de culto, artículos religiosos.","Jardin, com plantas ornamentais",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Ey6BTxxiVBbG0CFymLRI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/BXfgK9SUiYgxxguN4uEU.jpg,"Moviliza a “todos” los caboverdianos en las islas y en la diáspora por la creencia y la devoción. Visitas frecuentes de turistas extranjeros. Derivado de la celebración patronal el 15 de febrero, se desarrolla un conjunto de actividades paralelas, a saber, carreras de caballos, la fiesta del Santo Amaro y una feria artesanal.",Es único en la isla de Santiago y en Cabo Verde.,Frequentado,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,Verdadero,Verdadero,20,bien,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/oficina de cambio,Otros","Agua, Alcantarillado, Alumbrado público, Señalización","Atención primaria,Policía,Otros",,"Agua, Alcantarillado, Alumbrado público",,,,,,,,
"15.050128985303479, -23.650050723377085",Parque Natural da Serra do Pico D´Antónia,Santiago,São Domingos,São Nicolau Tolentino,"Fronteira- entre S.Salvador do Mundo, São lourenço e São Domingos

",Pico d´Antónia,Lugares Naturais,Montañas y montañas,"Es un macizo montañoso, de origen volcánico, situado al oeste del municipio de São Salvador do Mundo (SSM), más concretamente entre Ribeira de Leitãozinho y Ribeira de Faveta. Una de sus singularidades se debe a que es el punto más alto de la isla de Santiago (1394 metros) y el tercero a nivel nacional, así como a su grandeza sobre las dos grandes Ribeiras (Picos y Órgãos), especialmente porque atestigua la existencia de un gran dispositivo volcánico que una vez estuvo en el origen de la formación de la isla. Por otro lado, su grandeza también da la sensación de ser un monumento natural como guardián del municipio, por lo que una tarjeta de visita de este territorio es el Pico de Antónia, un monumento natural situado en el centro de la isla de Santiago, en el cruce de caminos. los municipios de São Lourenço dos Órgãos, Ribeira Grande de Santiago, S. Domingos y Santa Catarina. Según algunos historiadores, recibió el nombre de Pico de Antónia en honor a António de Noli, uno de los descubridores de las islas de Cabo Verde. Este patrimonio geológico es el mayor edificio volcánico de la edad Mio-Plioceno, formado esencialmente por lavas de naturaleza basáltica. Desde el punto de vista geomorfológico, se caracteriza por fuertes pendientes, marcadas por barrancos incisos y valles que adquieren diferentes formas y dimensiones, fruto de la erosión hídrica. Es la elevación más alta de la isla de Santiago con aproximadamente 1392 m de altitud, lo que es responsable de la ocurrencia de microclimas que favorecen el desarrollo de la biodiversidad y el endemismo. Destaca por su belleza paisajística y forma parte del itinerario turístico de la isla. Antonia Peak es un lugar relativamente seguro, aunque requiere cierto cuidado en el camino","Alojamiento
Miradores naturales","Fauna, flora, plantas endémicas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FMXeGDSdOMssg12xTqFR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/txfKacOu01vmkzcbYrSW.jpg,"El Plan de Manejo y Plan de Ecoturismo y Negocios del PNSPA contribuirá al Plan Estratégico de Desarrollo Sostenible, responderá a Convenios internacionales, promoverá el ecoturismo, así como contribuirá a generar ingresos para el Parque y la comunidad local.",Las montañas de Rui Vaz y la Sierra de Pico de Antónia constituyen una de las dos muestras más representativas de ecosistemas montañosos de la isla de Santiago. Contienen un número relativamente alto (17%) de especies de plantas superiores endémicas de Cabo Verde.,Frequentado,Senderismo,Limpieza de caminos peatonales y señalización.,Verdadero,"Vehículo todo terreno,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,No existe,Suficiente,Libro,Verdadero,Verdadero,21,bien,"Servicios de guía, Venta de artesanías, Servicios de estacionamiento.","Agua, Alumbrado público, Señalización, Otros","Hospital público,Atención primaria,Policía",,Señalización,,,,,,,,
"14.911248168265082, -23.485005283272415",Playa de Portinho,Santiago,Praia,Nossa Senhora da Graça,Achada Grande Trás,Achada Grande Trás,Lugares Naturais,Playas y zonas costeras,"Praia do Portinho, una de las playas más hermosas de la isla de Santiago. Está cerca de la Ciudad de Praia, bajando por un barranco aparentemente inseguro, que está en un desfiladero y el viento gana más fuerza, pero al llegar te encuentras ante un paraíso emblemático. Es una pequeña playa en forma de U. Esta playa tiene aguas cristalinas y una extensión de arena blanca. Muchas piedras arrojadas por la naturaleza. Los entusiastas del snorkel quedarán encantados con la vibrante vida marina y los coloridos corales que se pueden observar debajo de la superficie. En esta playa tenemos muchas embarcaciones que la utilizan para descargar pescado. Es necesario mejorar el acceso a él.","Botes
Pedras","Mar, arena y algunas acacias.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LoLRdqNMlnBCYle7GMQc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0z6rBTT4oxzKdxrvaflk.jpg,"Mejorar los accesos, instalar vallas, tumbonas, seguridad en el baño, socorristas, etc.",Una de las playas dentro de la ciudad de Praia.,Pouco frequentado,Costa y baño (Playa),"Mejoras en accesos, señalización y publicidad",Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,Verdadero,Verdadero,22,aceptable,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/oficina de cambio,Servicios de aparcamiento","Agua, Alumbrado público, Señalización, Otros","Atención primaria, policía",,Agua,,,,,,,,
"15.281979725442074, -23.752386761210758",Praia de Presidente,Santiago,Tarrafal,Santo Amaro Abade,Tarrafal,Beira Mar/Mar de baixo,Lugares Naturais,Playas y zonas costeras,"Es una pequeña playa en forma de U, frecuentada por figuras de gobierno y otras personas que vinieron desde la capital debido al resguardo y tranquilidad que reina en el lugar. Una playa tranquila y de reducidas dimensiones donde disfrutar de las aguas cristalinas y del sol con total tranquilidad.","Mesas y sillas de picnic
Alojar algunos establecimientos.","Sol, mar, arena blanca.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/jb7s5fK3KB1suavwLlLX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/OnOyhTHP92WMSTl7W9mE.jpg,"Sol, Playa y relax","Por su pequeñez y peculiares características, es único en la ciudad y en la isla.",Frequentado,Costa y baño (Playa),,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,No existe,No existe,Libro,FALSO,Verdadero,23,aceptable,"Servicios de guía,Alquiler de bicicletas/caballos/otros,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/oficina de cambio,Servicios de aparcamiento","Agua, Alcantarillado, Otros","Atención primaria, policía",,,,,,,,,,
