Lat-Long,Tourist resource name,island,Council,Parish,Vila,Neighborhood,Classification,Cara,Product Description,Associated material elements,Associated natural elements,Resource Access [Public or private domain],Feature Images,Feature 1 Images,Pending data of tourist interest,Uniqueness that sets it apart from others in the region,Customer satisfaction with the feature,Possibilities for future exploration,Interventions required for its use,Resource access (Land),Means of travel,Signage (Within the municipality),Signage (Outside the municipality),Signage (Nearby),Type of income,Applies (Within the Tourist Resource),Applies (Outside the Tourist Resort),ID,Conservation status,Other Tourist Services (Outside the nearest Tourist Resort),Basic Services (Outside the nearest tourist resort),Emergency services (Outside the nearest tourist resort),Other Tourist Services (Within the Tourist Resource),Basic services (Within the Tourist Resort),Feature 2 Images,Feature 3 Images,Feature 4 Images,Emergency services (Within the Tourist Resort),Access to the resource (Maritime),Current level of usage,Resource Access (Airborne),Means of travel 2
"15.053118702612295, -23.605132476262273",São Lourenço dos Órgãos Interpretive Center – “Kintal de Nós Djentis”,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,São Jorge dos Órgãos,São Jorge dos Órgãos,Architectural and Artistic Heritage,Museums and Exhibition Halls,"It is a multi-use and rural tourist space that promotes the history, culture and experience of the local rural community. Because it is a space of identity, of sustainability, that does not define its walls, but that has a soul, the soul of the people of this municipality, the soul of the people of Cape Verde. An invitation to discover the lives of people in this city for a long time. The center houses two thematic centers, the first Flora, fauna and their reflection on the life of the municipality and the second is a living science center. It has a large area for holding events, for crafts, a terrace and bar, two exhibition areas and an ethnographic exhibition room, administration and toilet area. It is also intended to maintain an agricultural products store as part of the center, which operates in this space, thus establishing a link between the exhibition and real agricultural life.","Associated material elements: Conference room; Coffee break room;
Associated material elements: Tourist information, crafts, exhibitions, sale of children's books",Geological stone exhibition,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fzdutQv8QTgBTOLTV2ja.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/v7uuBw0dmyeA8BZvtBg4.jpg,,It is the second Interpretive Center located in rural areas;,Frequentado,Heritage/cultural,None,True,"Tourist bus,Taxi,Other",Enough,,Enough,Ticket or entry required,True,True,13,bom,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange bureau","Water,Sewage system,Public lighting,Signage","Public hospital,Primary care,Police","Guide services, Interpretation centers","Water,Sewage system,Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GxgMhIAN816F6kYRcSwt.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/g6XfGkGMUn6Bv49182sG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/rPHoT88DIRJYCGxB7Ram.jpg,,,,,
"14.918262629862722, -23.603861989755426",Convent of San Francisco,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Velha,Ribeira Velha,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"The convent was built around 1640, on a plot of land donated by Joana Coelho, a wealthy landowner, widow of Captain Fabião de Andrade. It was designed to welcome the Franciscan religious who replaced the Jesuits in the mission in Cape Verde. It also functioned as a training center, where priests taught various trades to the community. It was practically destroyed after the attack by the privateer Jacques Cassard, in 1712, and a storm, which occurred in 1754. With a preserved structure and excavations to reveal its past importance. Facade made of a single panel with a triangular pediment, opened by a portal (disappeared) and topped by a large window with iron bars; bell tower on the corner on the left side, of the main facade, with a full-round arched window with a triangular finish. Single panel side walls, with windows, in the body of the nave and in the main chapel, delimited by corners.","Tile Panels, chairs
Self-Supporting Walls","Surrounding vegetation, houses",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/L840nzZSJc1vUiI8KHox.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/q4okTXJai6d7mv4llJNH.jpg,"Tourist signage, and more publicity; requalification of access to the convent.",It was one of the first convents created to receive Franciscans. With a single-nave church and chancel. Implementation with significant landscape interest. Cunhal SE. based on an equipped monolith.,Frequentado,Heritage/cultural,"Signage, promotion and interpretive plaques",True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Very little,Ticket or entry required,True,True,14,bom,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Public lighting,Others","Primary care,Police",Guide services,"Water,Public lighting,Others",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cikn3UPQvGjUPalZ7Dyd.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GdIiDV4gYmpEVxxErXyR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/WANZyBrr7rvCOwZfkG3r.jpg,,,,,
"14.91615223189909, -23.509749818591413",Diogo Gomes Statue,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Architectural and Artistic Heritage,Representative Works of Art,"It is located in the historic center of the city of Praia, more precisely in front of the presidential house with its face facing the sea, it represents Diego Gomes de Sintra who was the Portuguese navigator and explorer of the 15th century, and was one of the discoverers of the Cape Islands. verde in 1460. It is a historical-cultural monument of great relevance to the history of Cape Verde. The cast iron statue was created by Portuguese sculptor Joaquim Correia in 1956, measuring 3.3 meters high and placed on a 1.85m high pedestal. It was opened in 1956, to celebrate the 500th anniversary of the discovery of Cape Verde. In 1974/75 it was removed and was stored in a warehouse until 1991, when it was replaced. There you can enjoy the entire Achada Santo Antonio ramp, Monte Vermelho, lighthouse, beach bay and the islet of Santa Maria. It's an authentic viewpoint.",1.85 meter pedestal,,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/J6Qd8rgT6AO0yu8a3Ie1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/KflDEW7Q33pRrl7cKJYF.jpg,"Improved signage, QR code",The only statue that depicts one of the discoverers of Cape Verde,Frequentado,Heritage/cultural,none,True,"Ordinary car,On foot,Tourist bus,Taxi",,,,,True,True,15,bom,"Guide services,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting,Signage","Public hospital,Private hospital,Primary care,Police",,"Public lighting,Signage",,,,,,,,
"14.90050089159667, -23.50924945365985",Dona Maria Pia Lighthouse,Santiago,Praia,Nossa Senhora da Graça,Prainha,Prainha,Scientific Technical Achievements,Engineering Works,"Also known as the Ponta Temerosa Lighthouse, it is a lighthouse with an octagonal masonry tower. With lantern and gallery, an attached ground-floor building. The entire structure is painted white, with a gray lantern dome, a large courtyard, an exhibition room, machinery room, a bedroom and the 21 meter tower with a spiral staircase. Construction began in 1880 in the 19th century to support maritime navigation and was inaugurated on June 13, 1881. It was the first lighthouse built in Cape Verde. The name is a tribute to the Queen of Portugal, D. Maria Pia, wife of King D. Luis. Its beauty during sunrise and sunset makes the silhouetted lighthouse a scene of great beauty.","Cannons, staircase with resident
Lights",Mar,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Mz6XxdpQmrEh1i71gGJd.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qpBLLIHHiMWrYe0CP1SI.jpg,"Due to the proximity to the sea, degradation is inevitable, so maintenance must be carried out frequently. It focuses on the security of the space, protecting it from vandalism.",1st lighthouse in Cape Verde,,Heritage/cultural,,True,On foot,Enough,Enough,Enough,Book,True,True,16,bom,Taxi service,"Water,Sewage system,Public lighting,Signage","Public hospital, Police",,"Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/X6hpqmhLZkSx6IhTc32C.jpg,,,Primary care,,,,
"15.068670438611454, -23.582101553864582",Parish Church of São Lourenço dos Organos,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,João Teves,João Teves,Ethnography and folklore,Spiritual Folklore,"It is a church built in the 70s on the old ruin, dating from the 16th century, whose patron saint is São Lourenço dos Órgãos, celebrated on August 10th, with the celebration of mass, and procession, as well as other commemorative activities in the day of the said saint. The aforementioned church is characterized by keeping its architectural style intact.  It is located in the city of João Teves, more precisely, in Várzea de Igreja. It consists of a large hall where the Eucharist, baptisms, weddings, ordination of priests, etc. take place. It also has a large space around it, like an amphitheater, which holds masses on commemorative dates where there are more people.","The church itself, the bell
Statues of saints, images, chairs, tables, candles, sound system,",View of rural landscapes with many plants,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YC6P5bDMphaoPmHaBaoC.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VOQfmo9syLJgRmUNiBKy.jpg,"It is an emblematic monument that brings with it both its physical form in its original architecture, as well as its intangible history, the festivities linked to the celebration of its patron saint, and the culture of faith of its faithful, which ends up being an interest mainly for religious tourism, as well as tourism in its general context.","The church carries out cultural activities linked to faith such as theater, religious music, as well as the history of its patron saint as followers of Jesus, and a welcoming and traditional environment typical of the people of its region.",Frequentado,Heritage/cultural,N-A,True,"All-terrain vehicle,Common car,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,True,True,17,bom,"Guide services,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Other","Water,Sewage system,Public lighting,Signage","Primary care,Police",,"Water,Sewage system,Public lighting",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/tsVskx5ov9g4N0760xce.jpg,,,,,,,
"15.037714364270734, -23.454270648425307",Our Lady of Light Church,Santiago,São Domingos,Nossa Senhora da Luz,Moia Moia,,Ethnography and folklore,Spiritual Folklore,"The Church of Nossa Senhora da Luz is located in the Baía dos Alcatrazes area. It was one of the first churches built by the Portuguese in the tropics, in 1480, and, however, the town began to be gradually abandoned around 50 years later. It underwent renovations in 2020, the intervention of which makes it clear that there was a certain lack of character, deviating somewhat from the initial standard, which reduced its asset value. However, it has been a national cultural heritage since August 11, 2020, and is in a good state of conservation and should be preserved as a memory of the past.","The church itself, tombs outside
Statues of saints, images, chairs, tables, candles",View of Alcatraz Bay,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ElB4yb1c0081NE8gp4fe.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/AJP9xsiSD1JuFZGvcalL.png,"It is a simple church, which is well known among the population, and which has a rich history. Need to improve access.",The church was built in 1480.,Moderadamente frequentado,Heritage/cultural,N-A,True,"All-terrain vehicle,Common car,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,True,True,18,bom,"Guide services,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Other","Water,Sewage system,Public lighting","Primary care,Police",,"Water,Sewage system,Public lighting",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/47mTrUjD8SLRxCuzE8rS.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Z7GT0VbX5QAVdudTFQoq.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Ukli77JCKpzx4T3JsS2v.jpg,,,,,
"15.134873127639088, -23.529152016340927",Falucho Paradise Beach,Santiago,Santa Cruz,Santiago Maior,Porto Abaixo,Porto Abaixo,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"The emblematic Falucho Paradise beach space is a terrace restaurant and a three-star hotel located in Pedra Badejo that offers a hotel and restaurant service, facilities for water exports, snorkeling, diving, temporary art exhibitions, tours to walking, Live music, sporting events, Fishing, Hiking. 35 kilometers from the beach town, Faluche was renovated in May, and in addition to the panoramic terrace, with bar and restaurant services, it added a swimming pool and playground, thus becoming an attraction for those visiting Santa Cruz.","Outdoor swimming pool, bedroom, double rooms with desk, TV, chairs, tables, non-smoking rooms","Garden, volcanic black sand beach, sea view",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/wsntT98EbG0lz5Xl6DZ4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Lvlp61kui8dHnHGLw96M.jpg,"It is a tourist development, located in an area whose attraction activities are focused on the sea, with professionals who speak 3 languages ​​- Portuguese, English, and French.","It has a private beach, airport transfer service, sea view, seating and toilet for wheelchair users.",Frequentado,Others,Greater publicity,True,"All-terrain vehicle,Common car,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Does not exist,Enough,Book,True,True,19,bom,"Guide services,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services,Other","Water,Sewage system,Public lighting,Signage",Public hospital,"Guide services, Taxi service, Sale of crafts, Bank/ATM/currency exchange, Parking services","Water,Sewage system,Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/P1wyXAqIc7vmb4XfISUK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/uBeOOOZfiHx9HI3zbypF.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/2WxhxvUGPRi00Yw1PXLY.jpg,,,,,
"15.278772953995617, -23.751064019461676",Saint Amaro Abade Mother Church,Santiago,Tarrafal,Santo Amaro Abade,Tarrafal,Vila Centro,Ethnography and folklore,Spiritual Folklore,"The Church of Sto. Amaro Abade is the main Catholic temple in the Council of Tarrafal, whose religious holiday takes place on January 15th. It is one of the oldest churches on the island of Santiago and Cape Verde, opened in 1954, and was only rehabilitated in 2015. With the growth of the Municipality of Tarrafal, the number of believers increased to such an extent that the church was unable to receive . In this way, “all” Cape Verdeans on the islands and in the Diaspora were mobilized by belief/devotion, to contribute to rebuilding the Church. The Church was rebuilt and built side aisles and a rear extension.","Square with chairs, Tourist information office
Chairs, altar, Worship images, religious articles.","Garden, with ornamental plants",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Ey6BTxxiVBbG0CFymLRI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/BXfgK9SUiYgxxguN4uEU.jpg,"It mobilizes “all” Cape Verdeans on the islands and in the Diaspora for belief/devotion. Frequent visits by foreign tourists. Derived from the celebration of the patron saint on February 15th, a set of parallel activities is developed, namely, horse racing, the Santo Amaro festival and a craft fair.",It is unique on the island of Santiago and in Cape Verde,Frequentado,Heritage/cultural,,True,"All-terrain vehicle,Common car,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,True,True,20,bom,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of handicrafts,Bank/ATM/exchange office,Other","Water,Sewage system,Public lighting,Signage","Primary care,Police,Other",,"Water,Sewage system,Public lighting",,,,,,,,
"15.050128985303479, -23.650050723377085",Serra do Pico D´Antónia Natural Park,Santiago,São Domingos,São Nicolau Tolentino,"Fronteira- entre S.Salvador do Mundo, São lourenço e São Domingos

",Pico d´Antónia,Natural Places,Mountains and Mountains,"It is a mountainous massif, of volcanic origin, located west of the municipality of São Salvador do Mundo (SSM), more specifically between Ribeira de Leitãozinho and Ribeira de Faveta. One of its singularities is due to the fact that it is the highest point on the island of Santiago (1394 meters) and the third at national level, as well as its grandeur over the two large Ribeiras (Picos and Órgãos), especially because it testifies to the existence of a large volcanic device that was once at the origin of the formation of the island. On the other hand, its grandeur also gives the feeling of a natural monument as guardian of the municipality, therefore a visiting card of this territory. Pico de Antónia is a natural monument located in the center of the island of Santiago, at the crossroads of the municipalities of São Lourenço dos Órgãos, Ribeira Grande de Santiago, S. Domingos and Santa Catarina. According to some historians, it was named Pico de Antónia in honor of António de Noli, one of the discoverers of the Cape Verde islands. This geological heritage is the largest volcanic building of the Mio-Pliocene age, consisting essentially of lavas of a basaltic nature. From a geomorphological point of view, it is characterized by steep slopes, marked by incised ravines and valleys that take on different shapes and dimensions, resulting from water erosion. It is the highest elevation on the island of Santiago with approximately 1392 m of altitude, which is responsible for the occurrence of microclimates that favor the development of biodiversity and endemism. It stands out for its scenic beauty and is part of the island's tourist itinerary. Antonia Peak is a relatively safe place, although it requires some care along the way","Housing
Natural viewpoints","Endemic fauna, flora, plants",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FMXeGDSdOMssg12xTqFR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/txfKacOu01vmkzcbYrSW.jpg,"The Management Plan and Ecotourism and Business Plan for the PNSPA will contribute to the Strategic Plan for Sustainable Development, respond to international Conventions, promote ecotourism, as well as contribute to generating revenue for the Park and the local community .",The mountains of Rui Vaz and Serra de Pico de Antónia constitute one of the two most representative samples of mountain ecosystems on the island of Santiago. They contain a relatively high number (17%) of higher plant species endemic to Cape Verde.,Frequentado,Hiking,Cleaning of pedestrian paths and signage,True,"All-terrain vehicle,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Does not exist,Enough,Book,True,True,21,bom,"Guide services, Handicraft sales, Parking services","Water,Public lighting,Signage,Others","Public hospital,Primary care,Police",,Signaling,,,,,,,,
"14.911248168265082, -23.485005283272415",Portinho Beach,Santiago,Praia,Nossa Senhora da Graça,Achada Grande Trás,Achada Grande Trás,Natural Places,Beaches and Coastal Locations,"Praia do Portinho, one of the most beautiful beaches on the island of Santiago. It is close to the City of Praia, going down an apparently unsafe ravine, which is in a gorge and the wind gains more strength, but when you arrive you are faced with an emblematic paradise. It is a small, U-shaped beach. This beach has crystal clear waters and an expanse of white sand. Many stones thrown by nature. Snorkel enthusiasts will be enchanted by the vibrant marine life and colorful corals that can be spotted below the surface. On this beach we have many boats that use it to unload fish. Access to it needs to be improved","Boats
Stones","Sea, sand and some acacias",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LoLRdqNMlnBCYle7GMQc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0z6rBTT4oxzKdxrvaflk.jpg,"Improve access, install fences, sun loungers, bathing security, lifeguards, etc.",One of the beaches within the city of Praia,Pouco frequentado,Coast and bath (Beach),"Improvements to access, signage and publicity",True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,True,True,22,acceptable,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Public lighting,Signage,Others","Primary care,Police",,Water,,,,,,,,
"15.281979725442074, -23.752386761210758",Presidente Beach,Santiago,Tarrafal,Santo Amaro Abade,Tarrafal,Beira Mar/Mar de baixo,Natural Places,Beaches and Coastal Locations,"It is a small, U-shaped beach, frequented by government figures and others who came from the capital due to the shelter and tranquility that prevails in the place. A peaceful beach with a small size where you can enjoy the crystal clear waters and the sun in complete tranquility.","Picnic tables and chairs
Host some establishments","Sun, sea, white sand",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/jb7s5fK3KB1suavwLlLX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/OnOyhTHP92WMSTl7W9mE.jpg,"Sun, Beach and relax","Due to its smallness and peculiar characteristics, it is unique in the city and on the island.",Frequentado,Coast and bath (Beach),,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Does not exist,Does not exist,Book,False,True,23,acceptable,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Sewage system,Others","Primary care,Police",,,,,,,,,,
"14.971722400036619, -23.46103552186532",San Francisco Beach,Santiago,Praia,Nossa Senhora da Graça,São Francisco,,Natural Places,Beaches and Coastal Locations,"Praia de São Francisco is one of the best bathing beaches in the city of Praia. It's a pleasant place, with an expanse of white sand. The town of São Francisco has constant wind and the sea is very strong and rough. It's almost like friendship beach. There, groups of friends gather to play music, having fun and dancing. San Francisco is a special beach. We can talk about the water, at a fantastic temperature, or the sunset that can be enjoyed from the beautiful sand it has. A good stretch of white sand, where turtles also lay their eggs.  Another tourist attraction are the salt caves, located in the salt flats area, because there people collected salt that appeared due to the sea water, which jumped onto the rocks and was trapped there. The somewhat frightening labyrinth-shaped caves were not created by nature, but by the extraction of sand that the people of the Vale da Custo community carried out due to the lack of other means of subsistence. Currently, sand extraction is no longer carried out due to the danger it poses.","Turtle nests, beach information
Waste baskets, salt caves","Sea, sand and some palm trees",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/iobEyEZLoiRISWGMZkJK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ZJDM2OiAY3of4Mnl3Fbu.jpg,Security,,Pouco frequentado,Coast and bath (Beach),"Improvements to access, signage and publicity",True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,True,True,24,,"Guide services,Bicycle/horse/other rental,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/exchange office,Parking services","Water,Public lighting,Signage,Others",Primary care,,"Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/iwmQbFKQPpX7by3fp94C.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/okPie0zffUov6W15FI7E.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/82U6dFkMolK6wH71VYZj.jpg,,,,,
"15.05927052171017, -23.634747681840164",Mato Dentro Village,Santiago,São Salvador do Mundo,São Salvador do Mundo,Mato dentro,Mato dentro,Natural Places,Vales,"The village of Mato inside is a group of villages (with 100 people) scattered with agricultural and livestock farming vocations. Located in a fertile valley close to Pico de Antónia, the village of Mato Dento has the ability to provide its visitors with the opportunity to enjoy a lush and quite beautiful mountain landscape. Associated with these landscapes, it is also possible to have contact with the rural world, getting involved in the population's way of life.","Typical Cape Verdean houses
Viewpoints","Vegetation, flora, fauna, ornamental plants",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/vVEems5Gkr2Ghizh8wl5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/42ReE4pgcLwmteSl9y8X.jpg,"Aldeia de Mato Dentro is part of two major tourist promotion and diversification projects in Cape Verde, namely, the Tourism and Environmental Enhancement Program for Rural Villages and the Cape Verde Pedestrian Paths Signage Project.","The natural conditions make Aldeia de Mato Dentro a place where agricultural activity has a high importance in the family economy, with a predominance of rainfed agriculture (95%), despite less significant irrigated agriculture (4%) practiced in some valleys and there are seasonal cases (1%), these aspects are important for promoting",Frequentado,Hiking,Placing signposts for the village; Rehabilitation of the access road to Mato Dento; Construction of viewpoints that enhance the experience of contemplating the village landscape and surroundings,True,"All terrain vehicle,On foot,Taxi,Other",Does not exist,Does not exist,Does not exist,Book,True,True,25,bom,Guide services,"Water,Public lighting,Others",Public hospital,,"Water,Public lighting,Others",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/f9UuJ4mLvbkgSLsn4OVi.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/1Kl0FjKhmI1NqUSJF7ra.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VBz4wu1YKUksjqKKoLMc.png,,False,,,
"14.916230527923444, -23.602094419460148",Royal Fortress of São Filipe,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Architectural and Artistic Heritage,Archaeological Legacy,"Also recognized as a real fort or simply a fortress, it is located at the top of Achada Forte. The fort has a trapesoidal shape, with stone walls, two complete pentagonal bulwarks on the vertices to the east, separated by curtains, and two half-bastions, to the north and south, with respective guardhouses. As it is located on the land side, above the population of Ribeira Grande, it was not possible for short-range shots to be fired from the fortress, due to the risk of hitting the population. Defensive center of Cidade Velha in 1587, 16th century by order of King Filipe of Portugal and Spain. Built with local stones (basalt), use of lime and sand mortar, stone blocks and limestone.  It is 115 to 120 meters above sea level and 12 km from the capital.","Remain of the governor's house, soldiers' house, well (1612)
Chapel of São Gonçalo, official quarters, garrisons and weapons stores, prisons and dungeons.",none,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/lND6pPqDQl0DEVlQZuEy.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/CBBCfJAN0dWAO7wxzRdB.jpg,Ticket office signage and associated material elements,"It is located in the 1st City of Cape Verde, in all of sub-Saharan Africa.",,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Tourist bus,Mini Tourist Bus,Taxi",Enough,Enough,Enough,Book,True,True,26,bom,"Guide services, Sale of handicrafts, Bank/ATMs/currency exchange","Water,Public lighting,Signage","Public hospital, Police",,Water,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/uLGYI4eXTu9EUa1rYYGQ.jpg,,,,,Attended,,
