Lat-Long,Nome do recurso turístico,ilha,Conselho,Freguesia,Vila,Bairro,Classificação,Cara,Descrição do produto,Elementos materiais associados,Elementos naturais associados,Acesso ao Recurso [Domínio público ou privado],Imagens do recurso,Imagens do recurso 1,Dados pendentes de interesse turístico,Singularidade que o diferencia dos demais da região,Satisfação do cliente com o recurso,Possibilidades de exploração futura,Intervenções necessárias para seu uso,Acesso ao recurso (Terra),Meio de viagem,Sinalização (Dentro do município),Sinalização (Fora do município),Sinalização (Na proximidade),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),"ID",Estado de conservação,Outros Serviços Turísticos (Fora do Empreendimento Turístico da localidade mais próxima),Serviços Básicos ( Fora do Empreendimento Turístico da localidade mais próxima),Serviços de emergência (Fora do Empreendimento Turístico da localidade mais próxima),Outros Serviços Turísticos (Dentro do Recurso Turístico),Serviços básicos (Dentro do Recurso Turístico),Imagens do recurso 2,Imagens do recurso 3,Imagens do recurso 4,Serviços de emergência (Dentro do Recurso Turístico),Acesso ao recurso (Marítimo),Nível atual de uso,Acesso ao recurso (Aéreo),Meio de viagem 2
"15.3038536354514, -23.710943337999346",Centro de arte e oficios de tras os Montes,Santiago,Tarrafal,Santo Amaro Abade,Chão Bom,Chão Bom,Etnografia E Folclore,Artesanatos Com Materiais Folclore,"Destaca-se pela preservação e produção da olaria tradicional desta pacata localidade em tras os montes. Com a pratica da estração do barro pelas mãos das oleiras local nasce a obra de arte. Constituido por uma recepção, uma sla de exposição, um patio de produção de peças de panaria e tecelagem e pequenas salas de formações onde os artesões aprendem a arte de moldar o barro, da fabricação dos panos de terra e dos chapeus de palha, a cestaria e a manufaturação de joias tradicionais. Duas casa com base cilindrica e a parte superior em forma de cone feito em barro. Podemos apreciar tambem exposições com peças antigas e instrumentos utilizados para a confessão das peças. Situada a 10 minutos da cidade do tarrafal, este centro é visitado tambem por muitos turistas.","Elementos materiais associados:	Panaria tradicional, productos barro (taças de café, pote etc)
Elementos materiais associados:	Maquina de tear",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/KSeUESIdekparXsIoPbG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SwrM002X04drjXfBzsNB.jpg,Divulgação e marketing Digital,A sua construção é emblemática e feita em barro.,Frequentado,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Muito pouco,No existe,No existe,Livre,true,true,12,aceitável,,"Água,Iluminação pública,Sinalização","Cuidados primários,Polícia",Venda de artesanato,"Água,Iluminação pública",,,,,,,,
"15.053118702612295, -23.605132476262273",Centro Interpretativo de São Lourenço dos Órgãos – “Kintal de Nós Djentis”,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,São Jorge dos Órgãos,São Jorge dos Órgãos,Património Arquitectónico E Artístico,Museus E Salas De Exposições,"É um espaço multi uso e turístico rural que promove a história, a cultura e a vivência da comunidade rural local. Por se tratar e um espaço de identidade, de sutenticidade, que não se defina as suas paredes, mas que tem uma alma, a alma da gente deste municipiom a alma da gente de cabo verde. Um convite para descobrir a vida das pessoas neste municipio há muito tempo. O centro alberga dois nucleos tematicos, o primeiro Flora, fauna e o seu reflexo na vida do municipio e o segundo é um centro da ciencia viva. Tem um area grande para a realização de eventos, para artesanato, uma esplanada e o bar, duas areas expositivas e a sala para exposição etnografica, area de administração e sanitarios. Pretende-se  tambem manter na parte integrante do centro, uma loja de produtos agricolas, que funciona neste espaço, estabelecendo assim a ligação entre a exposição e a verdadeira vida agricula.","Elementos materiais associados:	Sala de conferencia; Sala de coffee break;
Elementos materiais associados:	Informações turísticas, artesanato, exposições, venda de libros infantis",Exposição de pedras geologica,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/fzdutQv8QTgBTOLTV2ja.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/v7uuBw0dmyeA8BZvtBg4.jpg,,É o segundo Centro Interpretativo localizado nos meio rural;,Frequentado,Património/cultural,Nenhuma,true,"Ônibus turístico,Taxi,Outro",Suficiente,,Suficiente,É necessário ingresso ou ingresso,true,true,13,bom,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Cuidados primários,Polícia","Serviços de guia ,Centros de interpretação","Água,Sistema de esgoto,Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GxgMhIAN816F6kYRcSwt.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/g6XfGkGMUn6Bv49182sG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/rPHoT88DIRJYCGxB7Ram.jpg,,,,,
"14.918262629862722, -23.603861989755426",Convento de São Francisco,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Velha,Ribeira Velha,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"O convento foi construído por volta de 1640, numa parcela de terreno doado por Joana Coelho, rica proprietária rural, viúva do capitão Fabião de Andrade. Foi concebido para acolher os religiosos franciscanos que substituíram os jesuítas na missão em Cabo Verde. Funcionou, também, como centro de formação, onde os padres ensinavam vários ofícios à comunidade. Ficou praticamente destruído após o ataque do corsário Jacques Cassard, em 1712 e de uma tempestade, ocorrido em 1754. Com estrutura conservada e escavações para desvendar importância passada. Fachada de pano único de frontão triangular, aberto por portal (desaparecido) e encimado por janelão com grades em ferro; campanário no cunhal do lado esquerdo, da fachada principal, com ventana em arco de volta inteira de remate triangular. Paredes laterais, de pano único, com janelas, no corpo da nave e na capela-mor, delimitadas por cunhais.","Paineis de Azulejos, cadeiras
Paredes Autoportantes","Vegetação ao redor, vivendas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/L840nzZSJc1vUiI8KHox.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/q4okTXJai6d7mv4llJNH.jpg,"Sinalização turística, e mais divulgação; requalificação do acesso até ao convento.",Foi um dos primeiros conventos criados para receber franciscanos. Com igreja de nave única e capela-mor. Implantação com significativo interesse paisagístico. Cunhal SE. assente em monolito aparelhado.,Frequentado,Património/cultural,"Sinalização, promoção e placas interpretativas",true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,Muito pouco,É necessário ingresso ou ingresso,true,true,14,bom,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Iluminação pública,Outros","Cuidados primários,Polícia",Serviços de guia ,"Água,Iluminação pública,Outros",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cikn3UPQvGjUPalZ7Dyd.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/GdIiDV4gYmpEVxxErXyR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/WANZyBrr7rvCOwZfkG3r.jpg,,,,,
"14.91615223189909, -23.509749818591413",Estatua Diogo Gomes,Santiago,Praia,Nossa Senhora da Graça,Plateau,Plateau,Património Arquitectónico E Artístico,Obras De Arte Representativas,"Situa-se no centro historico da cidade da praia mais precisamente a frente da casa presidencial com a cara voltada para o mar, representa diogo gomes de sintra que foi o navegador e explorador portugues do seculo XV, e foi um dos descobridores das ilhas de cabo verde em 1460. Trata-se de um monumento historico-cultural de grande relevância para a historia de cabo verde. A estatua em ferro fundido foi criada pelos  escultor português joaquim Correia em 1956, medindo 3.3 metros de altura onde foi colocada num pedestal de 1.85m de altura. Foi inaugurado em 1956, para celebrar os 500 anos do descobrimento de cabo verde. Em 1974/75 foi removida, esteve depositada num armazem até 1991, altura em que foi recolocada no lugar. Ali pode-se apreciar toda a rampa de achada santo antonio, monte vermelho, farol, baia da praia e o ilhéu de santa maria. É um autentico miradouro.",Pedestal de 1.85 metros ,,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/J6Qd8rgT6AO0yu8a3Ie1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/KflDEW7Q33pRrl7cKJYF.jpg,"Melhoria de sinalização, QR código",A única estatua que retrata um dos descobridores de Cabo verde ,Frequentado,Património/cultural,nenhuma,true,"Carro comum,A pé,Ônibus turístico,Taxi",,,,,true,true,15,bom,"Serviços de guia ,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Hospital particular,Cuidados primários,Polícia",,"Iluminação pública,Sinalização",,,,,,,,
"14.90050089159667, -23.50924945365985",Farol dona Maria Pia,Santiago,Praia,Nossa Senhora da Graça,Prainha,Prainha,Realizações Técnicas Científicas,Obras De Engenharia,"Tambem conhecida como farol ponta temerosa, é um farol com torre octogonal em alvenaria. Com lanterna e galeria, um edificio téreo anexo. Toda a estrutura é pintada de branco, com a cúpula da lanterna cinzenta, um patio grande, uma sala de exposição, sala de maquinaria, um quarto e a torre de 21 metros com um escada em espiral. Iniciou-se a contrução em 1880 seculo XIX para apoiar a navegação maritima e foi inaugurada no dia 13 de junho de 1881. Foi o 1º farol construido em cabo verde. O nome deve-se a homenagem a rainha de portugal D. Maria Pia esposa de Rei D. Luis. A sua beleza durante o nascer e por do sol, torna a siluetado farol um cenario de grande beleza","Canhoões, escada com mirador
Luzes",Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Mz6XxdpQmrEh1i71gGJd.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/qpBLLIHHiMWrYe0CP1SI.jpg,"Devido a aproximidade com mar,a degradacão é inevitavel, pelo a manutenção debe ser feita frequentemente. Aposta na segurança do espaço, protegendo-o de vandalismo. ",1º farol de Cabo Verde,,Património/cultural,,true,A pé,Suficiente,Suficiente,Suficiente,Livre,true,true,16,bom,Serviço de táxi,"Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital público,Polícia",,"Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/X6hpqmhLZkSx6IhTc32C.jpg,,,Cuidados primários,,,,
"15.068670438611454, -23.582101553864582",Igreja matriz de São Lorenço dos Orgãos,Santiago,São Lourenço dos Órgãos,São Lourenço dos Órgãos,João Teves,João Teves,Etnografia E Folclore,Folclore Espiritual,"Trata-se de uma igreja construída nos anos 70 sobre a antiga ruina, datada do século XVI, cujo santo padroeiro é São Lourenço dos Órgãos, comemorado no dia 10 de agosto, com celebração de missa, e procissão, como também outras atividades comemorativas no dia do dito santo. A citada igreja caracterizada por manter o seu estilo Arquitetónico intato.  Localiza-se na Cidade de João Teves, mais precisamente, na Várzea de Igreja. É constituída por um grande salão onde se realiza a eucaristia, batismos casamento, ordenação de padres etc. também tem um espaço amplo no seu arredor tipo um anfiteatro, que realiza missas nas datas comemorativas onde tem mais afluência de pessoas.","A própria igreja em si, o sino
Estatuas de santos, imagens, cadeiras, mesas, velas, sistema de som, ",Vista para paisagens de aspecto rural com muitas plantas ,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YC6P5bDMphaoPmHaBaoC.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/VOQfmo9syLJgRmUNiBKy.jpg,"Trata-se um emblemático monumento que traz consigo quer sobre forma física na sua arquitetura de origen, bem como imaterial as suas histórias, as festas ligadas a comemoração do seu santo padroeiro, e a cultura de fé dos seus fieis que acaba por ser um interesse principalmente para o turismo religioso, bem como o turismo no seu contexto geral.","A igreja realiza atividades  culturais ligadas a fé como teatro, musicas religiosas, bem como também a história do seu santo padroeiro como seguidores de Jesus, e um ambiente acolhedor e tradicional típico do povo da sua região    ",Frequentado,Património/cultural,N-A,true,"Veículo todo terreno,Carro comum,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,true,true,17,bom,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Outro","Água,Sistema de esgoto,Iluminação pública,Sinalização","Cuidados primários,Polícia",,"Água,Sistema de esgoto,Iluminação pública",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/tsVskx5ov9g4N0760xce.jpg,,,,,,,
"15.037714364270734, -23.454270648425307",Igreja Nossa senhora da Luz,Santiago,São Domingos,Nossa Senhora da Luz,Moia Moia,,Etnografia E Folclore,Folclore Espiritual,"A Igreja de Nossa Senhora da Luz, situa-se na zona de Baía dos Alcatrazes. Foi uma das primeiras Igrejas construída pelos portugueses nos trópicos, em 1480, tendo, entretanto, a localidade começado a ser gradualmente abandonada cerca de 50 anos depois. Sofreu obras de remodelação em 2020 cuja intervenção deixa entender que houve uma certa descaracterização, fugindo um pouco ao padrão inicial, que diminuiu o seu valor patrimonial. Contudo, é um património cultural nacional desde 11 de agosto de 2020, e se encontra em bom estado de conservação e que deve ser preservado como memória do passado. ","A própria igreja em si, túmulos no exterior
Estatuas de santos, imagens, cadeiras, mesas, velas ",Vista para a baia de alcatraz  ,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ElB4yb1c0081NE8gp4fe.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/AJP9xsiSD1JuFZGvcalL.png,"Trata-se de uma igreja simples, que é muito conhecida no seio da polpulação, e que guarda uma riqueza na sua historia. Precisa melhorar o acesso. ",A igreja foi construida em 1480.    ,Moderadamente frequentado,Património/cultural,N-A,true,"Veículo todo terreno,Carro comum,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,true,true,18,bom,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Outro","Água,Sistema de esgoto,Iluminação pública","Cuidados primários,Polícia",,"Água,Sistema de esgoto,Iluminação pública",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/47mTrUjD8SLRxCuzE8rS.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Z7GT0VbX5QAVdudTFQoq.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Ukli77JCKpzx4T3JsS2v.jpg,,,,,
"15.134873127639088, -23.529152016340927",Falucho Paradise Beach,Santiago,Santa Cruz,Santiago Maior,Porto Abaixo,Porto Abaixo,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"O emblemático espaço Falucho Paradise beach trata-se de um restaurante esplanada e de um hotel três estrelas situado em Pedra Badejo que oferecem um serviço de hotelaria e restauração, instalações para exportes aquáticos, mergulho com snorkel, mergulho, exposições temporárias de arte, passeios a pé, Música ao vivo, eventos desportivos, Pesca, Trilhas a pé. Há 35 quilómetros da cidade da praia, faluche foi requalificado em maio,  e para alem da esplanada panorâmica, com serviços de bar e restaurante, ganhou uma piscina e um parque infantil, com isso torna-se uma atração para quem visita santa cruz.","Piscina ao livre, quarto, quartos-duplos com mesa de trabalho, tv, Cadeiras, mesas, quartos para não fumantes","Jardim, praia de areia preta vulcânica, vista para o mar",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/wsntT98EbG0lz5Xl6DZ4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Lvlp61kui8dHnHGLw96M.jpg,"Trata-se de um empreendimento turístico, localizada numa área cujas actividades de atracão são viradas para o mar, com profissionais que falam 3 idiomas- português, inglês, e francês.  ","Possui uma praia privativa, serviço de transporto do aeroporto, vista para o mar, Possui lugares e wc para cadeirantes de roda.",Frequentado,Outros,Maior divulgação,true,"Veículo todo terreno,Carro comum,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,No existe,Suficiente,Livre,true,true,19,bom,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento,Outro","Água,Sistema de esgoto,Iluminação pública,Sinalização",Hospital público,"Serviços de guia ,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/P1wyXAqIc7vmb4XfISUK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/uBeOOOZfiHx9HI3zbypF.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/2WxhxvUGPRi00Yw1PXLY.jpg,,,,,
"15.278772953995617, -23.751064019461676",Igreja  Matriz santo Amaro Abade,Santiago,Tarrafal,Santo Amaro Abade,Tarrafal,Vila Centro,Etnografia E Folclore,Folclore Espiritual,"A Igreja de Sto. Amaro Abade é o principal templo católico no Conselho do Tarrafal, cujo feriado religioso ocorre no dia 15 de janeiro. É uma das mais antigas igrejas da ilha de Santiago e de Cabo Verde, inauguração em 1954, e só foi reabilitada em 2015. Com o crescimento do Munícipio do Tarrafal, o número de fiés aumentou de tal maneira que a igreja não tinha capacidade de receber. Deste modo, foi mobilizado “todos” os caboverdianos nas ilhas e na Diaspora pela crença/devoção, para contribuir para reconstruir a Igreja. A Igreja foi reconstruida e construiu naves laterais e alargamento traseiro.

","Praça com cadeiras, Posto de informação Turística
Cadeiras, altar, Imagens de adoração, artigos religiosos.","Jardin, com plantas ornamentais",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/Ey6BTxxiVBbG0CFymLRI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/BXfgK9SUiYgxxguN4uEU.jpg,"Mobiliza “todos” os caboverdianos nas ilhas e na Diaspora pela crença/devoção. Visitas frequentes dos turistas estrangeiros. Derivado a comemoração do santo padroeiro no dia 15 de fevereiro, é desenvolvido um conjunto de atividades paralelas, nomeadamente, corridas de cavalos, festival de Santo Amaro e feira de artesanato.",É única na ilha de Santiago e em Cabo Verde,Frequentado,Património/cultural,,true,"Veículo todo terreno,Carro comum,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,true,true,20,bom,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Outro","Água,Sistema de esgoto,Iluminação pública,Sinalização","Cuidados primários,Polícia,Outros",,"Água,Sistema de esgoto,Iluminação pública",,,,,,,,
"15.050128985303479, -23.650050723377085",Parque Natural da Serra do Pico D´Antónia,Santiago,São Domingos,São Nicolau Tolentino,"Fronteira- entre S.Salvador do Mundo, São lourenço e São Domingos

",Pico d´Antónia,Lugares Naturais,Montanhas E Montanhas,"É um maciço montanhoso, de origem vulcanico, situado a oeste do município de São Salvador do Mundo (SSM), mais concretamente entre Ribeira de Leitãozinho e Ribeira de Faveta. Uma das suas singularidadesdeve-se ao facto de ser o ponto mais alto da ilha de Santiago (1394 metros) e o terceiro a nívelnacional, bem como a sua imponência sobre as duas grandes Ribeiras (Picos e Órgãos), sobretudoporque testumunha a existência de um grande aparelho vulcânico que outrora esteve na origemda formação da ilha. Por outro lado, a sua imponência também dá a sensação de um monumentonatural como guardião do munícipio, logo um cartão de visita deste território      O Pico de Antónia é um monumento natural situado no centro da ilha de Santiago, na encruzilhada dos municípios de São Lourenço dos Órgãos, Ribeira Grande de Santiago, S. Domingos e Santa Catarina. Segundo alguns historiadores, foi-lhe atribuído o nome de Pico de Antónia em homenagem a António de Noli, um dos descobridores das ilhas de Cabo Verde. Este património geológico é o maior edifício vulcânico da idade mio-pliocénica, constituída essencialmente por lavas de natureza basáltica. Do ponto de vista geomorfológico caracteriza-se por encostas abruptas, marcadas por incisão de ravinas e vales que assumem formas e dimensões diversas, resultantes da erosão hídrica. É a maior elevação da ilha de Santiago com cerca de 1392 m de altitude o que está na origem da ocorrência de microclimas que favorece o desenvolvimento da biodiversidade e de endemismos. Singulariza-se pela sua beleza paisagística e faz parte do roteiro turístico da ilha. O pico de Antónia é um lugar relativamente seguro, embora requer alguns cuidados ao longo do percurso","Habitações
Miradouros naturais","Fauna, flora, plantas endémicas",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FMXeGDSdOMssg12xTqFR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/txfKacOu01vmkzcbYrSW.jpg,"O Plano de Gestão e Plano de Ecoturismo e Negócio para o PNSPA darão o seu contributo para o Plano Estratégico de Desenvolvimento Sustentável, dará respostas às Convenções internacionais, promoção do ecoturismo, bem como contribuirá para a geração de receitas para o Parque e a comunidade local.","As montanhas de Rui Vaz e Serra de Pico de Antónia constituem uma das duas amostras mais representativas de ecossistemas de montanha da ilha de Santiago. Detêm um número, relativamente elevado (17%) de espécies de plantas superiores endémicas de Cabo Verde.",Frequentado,Caminhadas,Limpeza dos caminos pedestres e sinalização,true,"Veículo todo terreno,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,No existe,Suficiente,Livre,true,true,21,bom,"Serviços de guia ,Venda de artesanato,Serviços de estacionamento","Água,Iluminação pública,Sinalização,Outros","Hospital público,Cuidados primários,Polícia",,Sinalização,,,,,,,,
"14.911248168265082, -23.485005283272415",Praia de Portinho,Santiago,Praia,Nossa Senhora da Graça,Achada Grande Trás,Achada Grande Trás,Lugares Naturais,Praias E Locais Costeiros,"A Praia do Portinho, umas das praias mais bonita da ilha de Santiago. Fica perto da Cidade da Praia, descendo uma ravina, aparentemente pouco segura, que fica num desfiladeiro e o vento ganha mais força, mas ao chegar depara-se com um emblemático paraíso. É uma pequena praia, em formato U. Esta praia possui águas cristalinas e uma extensão de areia branca. Muitas pedras lançadas pela natureza. Os entusiastas do snorkel ficarão encantados com a vida marinha vibrante e os corais coloridos que podem ser avistados abaixo da superfície. Nesta praia temos muitos botes que utilizam-na para descarga do pescado. O acesso a ela precisa ser melhorado","Botes
Pedras ","Mar, areia e algumas acacías",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LoLRdqNMlnBCYle7GMQc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0z6rBTT4oxzKdxrvaflk.jpg,"Melhorar o acesso, colocar sambras, espreguiçadeiras, segurança balnear, guarda vidas, etc",Uma das praias dentro da cidade da Praia,Pouco frequentado,Costa e banho (Praia),"Melhorias do acesso, sinalização e divulgação",true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,true,true,22,aceitável,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Iluminação pública,Sinalização,Outros","Cuidados primários,Polícia",,Água,,,,,,,,
"15.281979725442074, -23.752386761210758",Praia de Presidente,Santiago,Tarrafal,Santo Amaro Abade,Tarrafal,Beira Mar/Mar de baixo,Lugares Naturais,Praias E Locais Costeiros,"É uma pequena praia, em formato U, frequentada pelas personalidades do governo e demais que vinham da capital devido ao abrigo e a tranquilidade que reina no local. Uma pacata praia com uma dimensão pequena onde permite aproveitar das aguas cristalinas e do sol com toda tranquilidade.","Mesas e cadeiras de piquinique 
Albergue alguns estabelecimentos ","Sol, mar, areia branca",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/jb7s5fK3KB1suavwLlLX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/OnOyhTHP92WMSTl7W9mE.jpg,"Sol, Praia e relax","Pela sua pequenez e suas características peculiares, é única no Municipio e na ilha.",Frequentado,Costa e banho (Praia),,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,false,true,23,aceitável,"Serviços de guia ,Aluguel de bicicleta/cavalo/outro,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Outros","Cuidados primários,Polícia",,,,,,,,,,
